Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84718 (Cannonville),168.00,0.00,52349.00,61602.00,37.00,62.00,2.71,181463.00,35.00,16.00,11.00,11.00,35.00,19902.00,18.00,2.00,0.00,0.00,3.00,0.00,0.00,10.00,1.00,1.00,2.00,2.00,17.00,7.00,2.00,11.00,10.00,2.00,4.00,5.00,2.00,4.00
84729 (Glendale),410.00,0.01,47827.00,57940.00,39.20,135.00,3.04,384449.00,60.00,28.00,20.00,19.00,11.50,38404.00,20.00,1.00,0.00,2.00,2.00,0.00,0.00,20.00,0.00,2.00,3.00,2.00,30.00,18.00,6.00,17.00,10.00,4.00,14.00,8.00,13.00,21.00
84730 (Glenwood),546.00,0.00,57553.00,66283.00,36.30,194.00,2.81,629404.00,83.00,40.00,31.00,6.00,4.00,63085.00,16.00,2.00,0.00,9.00,5.00,0.00,0.00,22.00,2.00,22.00,11.00,9.00,13.00,12.00,13.00,26.00,24.00,1.00,18.00,6.00,10.00,35.00
84731 (Greenville),145.00,0.00,50894.00,63497.00,35.40,43.00,3.28,148635.00,31.00,15.00,9.00,2.00,22.30,13584.00,14.00,1.00,0.00,0.00,1.00,2.00,0.00,3.00,5.00,3.00,1.00,1.00,5.00,2.00,0.00,10.00,3.00,1.00,1.00,3.00,0.00,6.00
84732 (Greenwich),118.00,0.00,38552.00,50581.00,49.20,37.00,3.05,101884.00,23.00,7.00,12.00,0.00,8.20,9379.00,4.00,1.00,0.00,0.00,0.00,2.00,0.00,13.00,0.00,0.00,0.00,2.00,4.00,5.00,0.00,2.00,3.00,1.00,3.00,0.00,1.00,1.00
84733 (Gunlock),37.00,0.04,45195.00,81941.00,46.30,11.00,3.36,49069.00,7.00,5.00,5.00,4.00,10.20,4517.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00
84734 (Hanksville),257.00,0.00,41411.00,55045.00,45.90,97.00,2.65,253683.00,51.00,35.00,23.00,35.00,16.60,27823.00,27.00,5.00,1.00,0.00,0.00,3.00,0.00,4.00,1.00,2.00,4.00,2.00,13.00,7.00,10.00,14.00,19.00,6.00,9.00,2.00,3.00,9.00
84735 (Hatch),236.00,0.00,50578.00,60721.00,39.30,105.00,1.97,347093.00,47.00,13.00,5.00,22.00,22.20,31955.00,12.00,3.00,0.00,0.00,1.00,0.00,0.00,6.00,3.00,7.00,1.00,4.00,17.00,5.00,4.00,2.00,7.00,10.00,13.00,4.00,1.00,3.00
84736 (Henrieville),246.00,0.00,53063.00,61372.00,37.50,81.00,3.04,236188.00,51.00,23.00,17.00,5.00,36.50,25904.00,26.00,3.00,0.00,0.00,5.00,1.00,0.00,15.00,1.00,1.00,2.00,3.00,25.00,10.00,4.00,15.00,15.00,2.00,6.00,8.00,3.00,6.00
84728 (Garrison),163.00,0.00,54145.00,63811.00,38.10,65.00,2.51,225653.00,18.00,16.00,4.00,14.00,34.10,20449.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,0.00,2.00,0.00,0.00,0.00,10.00,0.00,5.00,18.00,18.00,3.00,0.00,8.00,6.00
84651 (Payson),26028.00,0.02,63741.00,74511.00,27.20,6982.00,3.72,22574419.00,2787.00,2599.00,1088.00,600.00,35.20,2328790.00,1051.00,371.00,382.00,150.00,31.00,132.00,71.00,808.00,132.00,487.00,229.00,217.00,444.00,384.00,213.00,1072.00,1570.00,318.00,676.00,419.00,865.00,803.00
84740 (Junction),191.00,0.00,33071.00,48602.00,38.60,67.00,2.85,173917.00,49.00,14.00,1.00,26.00,39.70,15070.00,10.00,5.00,0.00,0.00,0.00,1.00,0.00,5.00,0.00,3.00,1.00,3.00,6.00,3.00,1.00,6.00,9.00,4.00,4.00,0.00,2.00,4.00
84653 (Salem),9233.00,0.02,80995.00,96475.00,29.70,2448.00,3.75,10191285.00,926.00,1235.00,694.00,215.00,16.00,1084408.00,452.00,132.00,117.00,84.00,20.00,33.00,34.00,284.00,98.00,279.00,68.00,78.00,111.00,79.00,64.00,402.00,434.00,118.00,195.00,197.00,193.00,249.00
84654 (Salina),2689.00,0.00,45563.00,58810.00,32.20,973.00,2.76,2802870.00,581.00,79.00,52.00,164.00,26.60,254770.00,30.00,4.00,0.00,1.00,0.00,11.00,0.00,34.00,4.00,36.00,28.00,19.00,25.00,140.00,37.00,159.00,129.00,0.00,189.00,58.00,68.00,175.00
84655 (Santaquin),12141.00,0.02,62178.00,72476.00,25.20,3075.00,3.93,9607756.00,1475.00,920.00,319.00,150.00,40.10,995941.00,450.00,156.00,71.00,72.00,11.00,58.00,8.00,230.00,88.00,224.00,49.00,114.00,138.00,165.00,145.00,478.00,442.00,301.00,357.00,170.00,513.00,460.00
84656 (Scipio),339.00,0.00,57119.00,65678.00,37.70,124.00,2.73,443330.00,56.00,44.00,5.00,8.00,21.20,40231.00,19.00,2.00,0.00,7.00,1.00,0.00,0.00,7.00,3.00,10.00,11.00,10.00,6.00,9.00,5.00,15.00,13.00,13.00,5.00,5.00,6.00,16.00
84657 (Sigurd),515.00,0.00,53046.00,58266.00,36.10,174.00,2.79,551928.00,107.00,20.00,17.00,14.00,22.90,50813.00,27.00,3.00,0.00,2.00,1.00,4.00,2.00,16.00,4.00,11.00,0.00,4.00,5.00,23.00,10.00,18.00,19.00,11.00,12.00,21.00,6.00,30.00
84660 (Spanish Fork),41449.00,0.02,61653.00,74557.00,26.10,10915.00,3.73,34554626.00,4229.00,4378.00,1735.00,979.00,34.20,3654855.00,1437.00,950.00,908.00,296.00,19.00,143.00,180.00,1228.00,269.00,730.00,429.00,305.00,432.00,540.00,516.00,2020.00,2672.00,167.00,1035.00,555.00,1565.00,935.00
84662 (Spring City),1375.00,0.00,46482.00,57388.00,40.30,452.00,3.04,1412035.00,163.00,80.00,80.00,35.00,25.50,128140.00,23.00,4.00,0.00,4.00,0.00,0.00,0.00,25.00,22.00,33.00,6.00,16.00,8.00,26.00,13.00,9.00,28.00,25.00,30.00,18.00,32.00,18.00
84715 (Bicknell),451.00,0.00,41815.00,55044.00,46.30,172.00,2.62,449823.00,88.00,62.00,41.00,41.00,17.30,49335.00,44.00,9.00,1.00,0.00,0.00,5.00,1.00,6.00,2.00,4.00,7.00,4.00,23.00,13.00,18.00,24.00,33.00,11.00,16.00,4.00,5.00,17.00
84652 (Redmond),868.00,0.00,41294.00,53268.00,33.50,293.00,2.96,848798.00,224.00,49.00,42.00,12.00,11.50,76913.00,47.00,1.00,1.00,0.00,0.00,15.00,0.00,15.00,0.00,11.00,5.00,14.00,17.00,16.00,8.00,52.00,38.00,0.00,81.00,14.00,21.00,36.00
84665 (Sterling),328.00,0.00,47236.00,56340.00,36.60,101.00,2.97,270359.00,68.00,28.00,18.00,5.00,20.50,29652.00,19.00,1.00,1.00,5.00,1.00,1.00,0.00,10.00,1.00,5.00,2.00,6.00,9.00,5.00,2.00,5.00,9.00,1.00,11.00,3.00,5.00,10.00
84667 (Wales),361.00,0.00,58810.00,76368.00,30.10,103.00,3.46,385012.00,49.00,39.00,16.00,10.00,40.00,38590.00,28.00,4.00,0.00,4.00,0.00,3.00,0.00,5.00,1.00,4.00,7.00,13.00,9.00,3.00,6.00,10.00,13.00,3.00,8.00,7.00,3.00,8.00
84701 (Richfield),8343.00,0.00,48166.00,58120.00,32.80,2869.00,2.84,7740974.00,1325.00,643.00,391.00,639.00,19.30,769449.00,368.00,64.00,32.00,115.00,10.00,56.00,1.00,266.00,35.00,159.00,51.00,116.00,220.00,110.00,103.00,394.00,523.00,82.00,296.00,134.00,164.00,248.00
84710 (Alton),139.00,0.01,42591.00,47530.00,46.90,48.00,2.90,124201.00,24.00,36.00,11.00,5.00,25.60,11434.00,7.00,0.00,0.00,0.00,6.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,4.00,7.00,2.00,11.00,0.00,1.00,6.00
84711 (Annabella),877.00,0.00,58092.00,66494.00,36.40,279.00,3.14,908056.00,134.00,64.00,49.00,11.00,4.70,91015.00,26.00,4.00,0.00,14.00,8.00,0.00,0.00,36.00,4.00,36.00,18.00,15.00,21.00,20.00,20.00,39.00,39.00,2.00,29.00,10.00,17.00,53.00
84712 (Antimony),195.00,0.00,50936.00,58339.00,38.30,78.00,2.47,224688.00,39.00,16.00,15.00,11.00,27.90,23468.00,16.00,2.00,0.00,0.00,3.00,1.00,0.00,14.00,1.00,1.00,1.00,3.00,16.00,8.00,2.00,10.00,10.00,2.00,5.00,4.00,2.00,4.00
84713 (Beaver),3790.00,0.00,53204.00,63588.00,34.40,1320.00,2.86,3880077.00,715.00,253.00,99.00,258.00,37.80,380483.00,222.00,16.00,9.00,27.00,0.00,7.00,0.00,93.00,52.00,81.00,43.00,77.00,228.00,22.00,48.00,125.00,203.00,79.00,43.00,44.00,96.00,191.00
84714 (Beryl),918.00,0.00,42714.00,56631.00,32.00,300.00,3.05,813522.00,105.00,122.00,29.00,26.00,46.10,77392.00,37.00,1.00,3.00,2.00,5.00,0.00,0.00,54.00,1.00,2.00,10.00,2.00,9.00,1.00,7.00,36.00,14.00,32.00,4.00,26.00,32.00,70.00
84664 (Mapleton),9795.00,0.04,98627.00,112083.00,27.40,2459.00,3.98,11500751.00,727.00,1347.00,718.00,192.00,21.20,1259722.00,522.00,260.00,187.00,99.00,13.00,181.00,32.00,347.00,103.00,184.00,63.00,45.00,110.00,111.00,100.00,354.00,583.00,2.00,221.00,93.00,210.00,140.00
84627 (Ephraim),7156.00,0.02,42084.00,55043.00,21.70,1862.00,3.59,4320215.00,334.00,459.00,270.00,225.00,35.80,444284.00,278.00,99.00,45.00,17.00,0.00,38.00,32.00,204.00,52.00,161.00,112.00,84.00,155.00,83.00,165.00,239.00,421.00,68.00,160.00,62.00,146.00,92.00
84738 (Ivins),7925.00,0.03,54570.00,74441.00,42.40,2816.00,2.81,9963210.00,1056.00,1026.00,653.00,101.00,23.90,1057600.00,187.00,93.00,46.00,28.00,0.00,31.00,2.00,203.00,30.00,120.00,111.00,120.00,99.00,40.00,174.00,325.00,382.00,41.00,229.00,84.00,246.00,125.00
84623 (Chester),428.00,0.00,57666.00,74712.00,31.00,120.00,3.53,442932.00,58.00,45.00,19.00,10.00,38.60,44009.00,32.00,4.00,0.00,4.00,0.00,4.00,0.00,6.00,1.00,5.00,7.00,15.00,10.00,3.00,7.00,11.00,16.00,4.00,10.00,8.00,4.00,10.00
84622 (Centerfield),1508.00,0.00,41603.00,53345.00,31.50,455.00,3.09,1177019.00,289.00,87.00,14.00,40.00,39.50,106181.00,21.00,9.00,0.00,13.00,3.00,8.00,0.00,21.00,0.00,45.00,17.00,34.00,17.00,41.00,19.00,26.00,39.00,94.00,25.00,18.00,46.00,69.00
84533 (Lake Powell),122.00,0.00,44793.00,57939.00,45.60,60.00,2.03,163650.00,21.00,18.00,11.00,25.00,28.20,17622.00,9.00,2.00,0.00,0.00,1.00,0.00,0.00,4.00,2.00,2.00,0.00,3.00,4.00,2.00,1.00,5.00,8.00,2.00,5.00,5.00,4.00,3.00
84635 (Hinckley),902.00,0.00,56475.00,67031.00,37.60,315.00,2.86,1061099.00,163.00,76.00,14.00,15.00,27.60,103759.00,29.00,9.00,7.00,2.00,0.00,0.00,0.00,27.00,17.00,13.00,3.00,8.00,21.00,11.00,6.00,37.00,40.00,37.00,50.00,32.00,58.00,22.00
84636 (Holden),419.00,0.00,57077.00,65793.00,37.10,158.00,2.65,565878.00,70.00,55.00,7.00,4.00,20.70,51352.00,22.00,2.00,1.00,9.00,1.00,1.00,1.00,8.00,4.00,12.00,14.00,13.00,8.00,11.00,6.00,18.00,16.00,15.00,7.00,6.00,8.00,18.00
84637 (Kanosh),671.00,0.00,40030.00,51935.00,40.40,231.00,2.90,640960.00,135.00,43.00,45.00,9.00,31.10,55586.00,19.00,3.00,2.00,4.00,2.00,1.00,0.00,12.00,0.00,9.00,13.00,11.00,25.00,3.00,3.00,17.00,35.00,19.00,26.00,8.00,16.00,28.00
84638 (Leamington),237.00,0.00,58450.00,71378.00,33.50,80.00,2.96,279499.00,29.00,34.00,6.00,2.00,14.20,28014.00,6.00,3.00,1.00,3.00,0.00,3.00,0.00,4.00,0.00,8.00,7.00,4.00,2.00,9.00,1.00,5.00,9.00,15.00,6.00,2.00,12.00,5.00
84640 (Lynndyl),115.00,0.00,57192.00,72281.00,33.80,44.00,2.61,155669.00,14.00,16.00,3.00,5.00,11.60,15602.00,3.00,1.00,0.00,1.00,0.00,2.00,0.00,2.00,0.00,4.00,3.00,2.00,1.00,4.00,1.00,2.00,4.00,8.00,3.00,1.00,6.00,3.00
84624 (Delta),6022.00,0.00,46480.00,62382.00,33.50,1990.00,2.98,5833172.00,937.00,634.00,124.00,293.00,48.40,577542.00,197.00,43.00,24.00,61.00,0.00,7.00,9.00,298.00,11.00,143.00,37.00,39.00,103.00,203.00,107.00,211.00,264.00,388.00,217.00,151.00,252.00,152.00
84643 (Mayfield),621.00,0.00,47441.00,56334.00,36.30,220.00,2.59,589229.00,128.00,53.00,34.00,9.00,20.50,64567.00,37.00,2.00,2.00,9.00,1.00,3.00,0.00,19.00,3.00,9.00,4.00,11.00,17.00,9.00,3.00,9.00,18.00,2.00,20.00,5.00,9.00,19.00
84644 (Meadow),324.00,0.00,39384.00,51705.00,40.70,124.00,2.61,342427.00,64.00,21.00,22.00,14.00,30.00,29672.00,9.00,2.00,1.00,2.00,1.00,0.00,0.00,5.00,0.00,4.00,6.00,5.00,12.00,1.00,1.00,8.00,18.00,9.00,13.00,4.00,8.00,13.00
84645 (Mona),2909.00,0.01,54991.00,67805.00,20.80,680.00,4.24,2050211.00,373.00,175.00,79.00,30.00,14.10,204301.00,66.00,12.00,24.00,30.00,2.00,19.00,0.00,105.00,5.00,55.00,63.00,16.00,32.00,41.00,9.00,97.00,146.00,15.00,118.00,46.00,158.00,110.00
84646 (Moroni),1640.00,0.00,41984.00,58549.00,31.10,520.00,3.15,1490536.00,248.00,123.00,67.00,52.00,52.70,149367.00,63.00,19.00,0.00,5.00,2.00,2.00,0.00,31.00,0.00,19.00,30.00,17.00,48.00,7.00,18.00,25.00,71.00,53.00,38.00,24.00,56.00,38.00
84647 (Mount Pleasant),4471.00,0.00,50512.00,60672.00,31.50,1389.00,2.98,4253231.00,717.00,305.00,225.00,211.00,22.50,404195.00,138.00,51.00,9.00,30.00,0.00,9.00,0.00,208.00,68.00,120.00,10.00,31.00,87.00,74.00,53.00,170.00,133.00,7.00,179.00,74.00,84.00,118.00
84648 (Nephi),6545.00,0.00,57169.00,67218.00,31.60,2045.00,3.16,6241255.00,1110.00,447.00,179.00,310.00,18.30,630002.00,181.00,59.00,16.00,30.00,40.00,28.00,0.00,184.00,14.00,152.00,33.00,80.00,205.00,180.00,107.00,273.00,617.00,30.00,214.00,186.00,315.00,157.00
84649 (Oak City),742.00,0.00,57254.00,71663.00,34.00,234.00,3.17,820799.00,89.00,106.00,20.00,9.00,13.50,82269.00,20.00,8.00,2.00,10.00,1.00,10.00,0.00,14.00,1.00,25.00,21.00,13.00,7.00,27.00,3.00,15.00,28.00,47.00,19.00,6.00,37.00,16.00
84663 (Springville),32113.00,0.02,61614.00,76509.00,27.40,9195.00,3.47,29903126.00,2746.00,4371.00,1982.00,882.00,39.50,3155698.00,1171.00,793.00,483.00,242.00,55.00,238.00,68.00,1288.00,260.00,766.00,220.00,235.00,522.00,333.00,319.00,1376.00,2002.00,89.00,759.00,473.00,1499.00,959.00
84642 (Manti),3881.00,0.01,52054.00,60657.00,31.60,1167.00,3.31,3437509.00,456.00,405.00,185.00,212.00,22.20,329730.00,280.00,11.00,26.00,17.00,0.00,22.00,6.00,139.00,18.00,113.00,31.00,74.00,79.00,63.00,37.00,101.00,138.00,17.00,153.00,39.00,94.00,110.00
84516 (Clawson),159.00,0.00,55832.00,61001.00,37.00,53.00,3.00,159497.00,32.00,12.00,3.00,6.00,12.00,15719.00,5.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,0.00,9.00,1.00,4.00,1.00,3.00,0.00,4.00,5.00,3.00,9.00,5.00,3.00,3.00
84620 (Aurora),1141.00,0.00,58538.00,67870.00,35.70,387.00,2.95,1286136.00,250.00,63.00,54.00,27.00,13.40,128816.00,67.00,2.00,0.00,19.00,15.00,0.00,0.00,107.00,11.00,0.00,8.00,25.00,2.00,8.00,58.00,31.00,60.00,13.00,17.00,21.00,0.00,118.00
84534 (Montezuma Creek),880.00,0.01,36445.00,50929.00,28.60,234.00,3.76,632121.00,178.00,29.00,12.00,27.00,15.80,52925.00,17.00,3.00,1.00,1.00,0.00,4.00,0.00,24.00,1.00,9.00,11.00,10.00,18.00,5.00,12.00,6.00,20.00,3.00,38.00,3.00,28.00,21.00
84535 (Monticello),2658.00,0.00,53858.00,65274.00,34.70,843.00,2.99,2577210.00,406.00,165.00,182.00,189.00,37.90,250952.00,98.00,23.00,8.00,31.00,0.00,17.00,0.00,59.00,14.00,122.00,12.00,81.00,94.00,72.00,8.00,75.00,114.00,21.00,96.00,37.00,14.00,20.00
84536 (Monument Valley),1893.00,0.01,30555.00,44115.00,29.20,534.00,3.53,1228330.00,465.00,39.00,27.00,20.00,17.50,99647.00,31.00,7.00,7.00,0.00,6.00,3.00,0.00,23.00,12.00,12.00,16.00,15.00,30.00,45.00,25.00,47.00,53.00,4.00,50.00,17.00,20.00,32.00
84537 (Orangeville),1378.00,0.00,46838.00,61925.00,33.50,452.00,3.05,1370031.00,209.00,68.00,24.00,39.00,5.70,137319.00,41.00,10.00,5.00,17.00,12.00,11.00,0.00,34.00,4.00,1.00,15.00,31.00,10.00,20.00,19.00,47.00,20.00,0.00,48.00,45.00,30.00,68.00
84539 (Sunnyside),443.00,0.00,30966.00,40832.00,43.00,172.00,2.58,372519.00,102.00,7.00,2.00,11.00,47.10,31189.00,8.00,3.00,0.00,1.00,0.00,1.00,0.00,6.00,0.00,7.00,2.00,10.00,6.00,13.00,7.00,12.00,21.00,0.00,28.00,6.00,8.00,12.00
84540 (Thompson),86.00,0.02,45375.00,50990.00,44.20,54.00,1.59,130822.00,14.00,9.00,2.00,10.00,19.10,14348.00,3.00,3.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,7.00,15.00,0.00,7.00,1.00,2.00,5.00
84542 (Wellington),1317.00,0.00,53819.00,67706.00,35.00,465.00,2.83,1663807.00,218.00,67.00,38.00,50.00,30.40,139680.00,37.00,25.00,4.00,8.00,2.00,11.00,0.00,55.00,4.00,58.00,21.00,5.00,16.00,22.00,2.00,91.00,72.00,7.00,97.00,21.00,45.00,69.00
84601 (Provo),33324.00,0.01,43300.00,53180.00,25.70,10119.00,3.26,21669419.00,3341.00,3534.00,1175.00,1388.00,67.10,2260683.00,847.00,544.00,633.00,133.00,95.00,253.00,34.00,1485.00,507.00,608.00,332.00,236.00,819.00,841.00,466.00,1587.00,2253.00,20.00,1238.00,387.00,1513.00,679.00
84621 (Axtell),246.00,0.00,51947.00,56902.00,35.90,79.00,2.54,244703.00,51.00,11.00,8.00,7.00,65.30,22206.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,2.00,6.00,1.00,0.00,3.00,0.00,4.00,2.00,1.00,5.00,1.00,2.00,5.00
84604 (Provo),48166.00,0.01,49018.00,73777.00,23.90,13164.00,3.24,39162742.00,1845.00,6206.00,4324.00,1545.00,36.80,4101727.00,1880.00,1052.00,1016.00,261.00,359.00,396.00,246.00,3281.00,754.00,929.00,440.00,290.00,1690.00,1063.00,808.00,2976.00,3887.00,63.00,433.00,367.00,906.00,702.00
84606 (Provo),33758.00,0.01,33708.00,48790.00,23.40,10175.00,3.27,18904178.00,1420.00,4211.00,1270.00,656.00,47.70,1888195.00,1154.00,476.00,1112.00,297.00,329.00,337.00,39.00,2994.00,847.00,655.00,717.00,170.00,1423.00,1167.00,565.00,1931.00,3356.00,38.00,475.00,446.00,590.00,631.00
84634 (Gunnison),3538.00,0.00,47321.00,60072.00,34.50,606.00,3.79,1871888.00,602.00,235.00,111.00,133.00,51.00,176546.00,108.00,20.00,0.00,4.00,0.00,12.00,0.00,72.00,0.00,57.00,64.00,76.00,38.00,35.00,27.00,55.00,49.00,53.00,81.00,31.00,42.00,90.00
84632 (Fountain Green),1128.00,0.00,58448.00,76297.00,30.20,342.00,3.26,1277202.00,153.00,121.00,50.00,25.00,40.20,128015.00,88.00,11.00,0.00,11.00,0.00,10.00,0.00,17.00,3.00,12.00,21.00,40.00,29.00,8.00,20.00,30.00,41.00,10.00,26.00,22.00,9.00,26.00
84631 (Fillmore),2843.00,0.00,54960.00,63140.00,34.40,949.00,2.96,3038854.00,555.00,167.00,95.00,226.00,49.50,282688.00,45.00,24.00,7.00,3.00,4.00,1.00,0.00,48.00,3.00,102.00,13.00,88.00,156.00,69.00,60.00,135.00,106.00,162.00,61.00,63.00,93.00,169.00
84630 (Fayette),275.00,0.00,52757.00,56902.00,36.00,86.00,1.86,266386.00,57.00,12.00,9.00,6.00,65.80,24174.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,2.00,7.00,1.00,0.00,3.00,0.00,4.00,2.00,1.00,7.00,1.00,2.00,6.00
84629 (Fairview),2521.00,0.00,61334.00,81733.00,37.50,825.00,3.02,3388278.00,440.00,235.00,117.00,72.00,16.40,332021.00,177.00,29.00,2.00,1.00,7.00,2.00,2.00,85.00,39.00,129.00,7.00,14.00,28.00,31.00,9.00,98.00,40.00,56.00,153.00,66.00,38.00,70.00
84628 (Eureka),725.00,0.01,40656.00,52580.00,37.60,274.00,2.64,784255.00,161.00,49.00,30.00,42.00,28.40,71170.00,22.00,9.00,0.00,5.00,11.00,1.00,0.00,17.00,9.00,10.00,0.00,14.00,6.00,0.00,10.00,26.00,50.00,18.00,47.00,10.00,18.00,13.00
84602 (Provo),4013.00,0.00,35000.00,64821.00,18.00,14.00,2.71,31333.00,4.00,27.00,4.00,52.00,30.10,3057.00,18.00,20.00,46.00,9.00,7.00,18.00,0.00,152.00,66.00,0.00,7.00,3.00,160.00,90.00,103.00,106.00,249.00,0.00,21.00,0.00,15.00,15.00
84513 (Castle Dale),1646.00,0.00,46160.00,62086.00,32.80,555.00,2.97,1686602.00,340.00,121.00,45.00,202.00,12.80,169049.00,45.00,10.00,0.00,17.00,1.00,0.00,0.00,29.00,0.00,43.00,22.00,42.00,11.00,31.00,21.00,63.00,49.00,5.00,90.00,43.00,39.00,25.00
84532 (Moab),10826.00,0.01,45336.00,58787.00,41.10,4448.00,2.40,11843722.00,1649.00,1252.00,521.00,863.00,36.00,1226422.00,676.00,124.00,15.00,27.00,63.00,27.00,0.00,343.00,221.00,183.00,125.00,227.00,430.00,752.00,136.00,611.00,939.00,64.00,484.00,248.00,144.00,342.00
84403 (Ogden),37332.00,0.01,55446.00,76531.00,32.00,13190.00,2.80,43772932.00,4376.00,4833.00,2684.00,1133.00,56.90,4581974.00,1546.00,870.00,395.00,311.00,61.00,276.00,97.00,1280.00,161.00,1218.00,438.00,249.00,1264.00,791.00,586.00,2021.00,2249.00,27.00,1054.00,463.00,1577.00,907.00
84404 (Ogden),61217.00,0.01,53306.00,64079.00,31.20,20397.00,2.95,56958801.00,10481.00,4359.00,1630.00,1550.00,54.90,5851574.00,2248.00,1339.00,674.00,524.00,133.00,289.00,57.00,1210.00,342.00,921.00,826.00,514.00,1367.00,1042.00,683.00,2655.00,4670.00,143.00,1808.00,1268.00,3562.00,1959.00
84405 (Ogden),33072.00,0.01,60878.00,77798.00,32.20,11409.00,2.86,38484534.00,5311.00,3842.00,1510.00,1098.00,39.10,4010464.00,1554.00,981.00,388.00,323.00,60.00,143.00,71.00,875.00,235.00,748.00,509.00,370.00,738.00,382.00,637.00,1687.00,2247.00,4.00,882.00,357.00,1410.00,787.00
84414 (Ogden),27737.00,0.01,77292.00,93405.00,34.30,8703.00,3.19,35407394.00,3517.00,4134.00,2054.00,399.00,23.30,3795333.00,1370.00,852.00,444.00,613.00,49.00,253.00,64.00,942.00,262.00,790.00,412.00,184.00,371.00,245.00,321.00,1448.00,2354.00,52.00,460.00,387.00,844.00,517.00
84501 (Price),14252.00,0.00,43482.00,56042.00,34.50,5136.00,2.70,13527187.00,2079.00,943.00,456.00,786.00,36.30,1302325.00,424.00,83.00,48.00,153.00,10.00,62.00,0.00,438.00,42.00,402.00,83.00,82.00,366.00,323.00,229.00,758.00,1031.00,53.00,521.00,276.00,353.00,589.00
84510 (Aneth),1676.00,0.01,30597.00,46280.00,28.00,445.00,3.77,1092378.00,297.00,63.00,15.00,4.00,18.30,91460.00,27.00,5.00,0.00,5.00,0.00,4.00,0.00,64.00,3.00,8.00,14.00,28.00,31.00,10.00,19.00,7.00,35.00,2.00,87.00,9.00,57.00,24.00
84511 (Blanding),5386.00,0.01,51747.00,59434.00,29.00,1584.00,3.28,4553752.00,627.00,533.00,370.00,210.00,47.20,435278.00,175.00,93.00,36.00,43.00,9.00,45.00,0.00,201.00,80.00,180.00,17.00,66.00,60.00,134.00,78.00,122.00,301.00,79.00,185.00,70.00,58.00,99.00
84512 (Bluff),1345.00,0.01,39761.00,53707.00,30.90,435.00,3.08,1182725.00,294.00,72.00,64.00,36.00,34.30,103641.00,23.00,5.00,2.00,1.00,3.00,6.00,0.00,38.00,11.00,22.00,16.00,24.00,26.00,7.00,16.00,17.00,34.00,12.00,54.00,2.00,55.00,47.00
84401 (Ogden),37978.00,0.01,42893.00,57323.00,30.90,13266.00,2.81,32456310.00,6046.00,3054.00,1268.00,2398.00,67.60,3313414.00,1424.00,662.00,395.00,291.00,50.00,226.00,68.00,870.00,187.00,601.00,372.00,309.00,1227.00,620.00,422.00,1479.00,2614.00,179.00,1279.00,752.00,2232.00,1282.00
84520 (East Carbon),1204.00,0.00,30908.00,40882.00,42.80,498.00,2.42,1079894.00,279.00,20.00,4.00,33.00,46.90,90415.00,21.00,8.00,0.00,2.00,0.00,2.00,1.00,18.00,0.00,20.00,7.00,29.00,15.00,34.00,19.00,33.00,56.00,0.00,77.00,15.00,20.00,32.00
84521 (Elmo),480.00,0.00,59765.00,75812.00,34.80,158.00,3.01,635352.00,86.00,18.00,13.00,13.00,13.70,53195.00,4.00,2.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,17.00,1.00,1.00,4.00,12.00,8.00,3.00,16.00,0.00,41.00,9.00,12.00,47.00
84522 (Emery),292.00,0.00,56113.00,60971.00,36.40,114.00,2.56,340215.00,60.00,23.00,5.00,24.00,11.70,34100.00,9.00,2.00,1.00,1.00,4.00,0.00,0.00,5.00,0.00,15.00,2.00,8.00,3.00,6.00,1.00,7.00,10.00,6.00,13.00,9.00,5.00,6.00
84523 (Ferron),1887.00,0.00,55221.00,60163.00,37.30,629.00,2.95,1946636.00,340.00,122.00,25.00,46.00,13.80,174940.00,35.00,5.00,10.00,9.00,11.00,4.00,0.00,21.00,0.00,120.00,39.00,32.00,11.00,42.00,2.00,28.00,32.00,44.00,126.00,86.00,41.00,35.00
84525 (Green River),1170.00,0.00,43516.00,50362.00,34.80,399.00,2.93,964390.00,240.00,89.00,9.00,100.00,67.60,87699.00,48.00,1.00,0.00,0.00,15.00,0.00,0.00,27.00,2.00,0.00,13.00,8.00,100.00,53.00,1.00,58.00,53.00,0.00,67.00,16.00,38.00,37.00
